unique_id,adjpoll_clinton,adjpoll_trump,handle,fecha,index_weighted
2016513_Clinton vs. Trump,41.85368333333333,42.30535666666667,Clinton vs. Trump,2016-05-13,6.454580532537742e-05
2016514_Clinton vs. Trump,42.50094333333333,39.86929,Clinton vs. Trump,2016-05-14,7.213308745286737e-07
2016515_Clinton vs. Trump,40.8843437037037,42.24083703703704,Clinton vs. Trump,2016-05-15,0.001082780417394899
2016516_Clinton vs. Trump,45.29985833333333,39.7245675,Clinton vs. Trump,2016-05-16,0.002712628159885782
2016517_Clinton vs. Trump,42.80566083333333,42.72694416666667,Clinton vs. Trump,2016-05-17,0.0001274679995833121
2016518_Clinton vs. Trump,42.025261111111114,41.50062666666666,Clinton vs. Trump,2016-05-18,0.00012368869836980892
2016519_Clinton vs. Trump,43.73998944444444,43.17410722222222,Clinton vs. Trump,2016-05-19,0.0007566950617210105
201651_Clinton vs. Trump,42.046545,44.610058333333335,Clinton vs. Trump,2016-05-01,0.0005936295011314469
2016520_Clinton vs. Trump,43.43150833333333,43.08917333333333,Clinton vs. Trump,2016-05-20,2.0479743476632847e-05
2016521_Clinton vs. Trump,42.34551,37.86199666666667,Clinton vs. Trump,2016-05-21,1.0150064002427814e-06
2016522_Clinton vs. Trump,46.22414666666667,41.04468428571428,Clinton vs. Trump,2016-05-22,0.0005887965238111743
2016523_Clinton vs. Trump,41.33793083333333,41.76465833333334,Clinton vs. Trump,2016-05-23,0.00010930075734401515
2016524_Clinton vs. Trump,42.911903333333335,39.64185888888889,Clinton vs. Trump,2016-05-24,0.0012725102034657158
2016525_Clinton vs. Trump,43.285603333333334,42.561778333333336,Clinton vs. Trump,2016-05-25,0.0005390081297898566
2016526_Clinton vs. Trump,45.19136,37.73177111111111,Clinton vs. Trump,2016-05-26,7.142277035071319e-05
2016527_Clinton vs. Trump,41.091791666666666,37.20021166666667,Clinton vs. Trump,2016-05-27,0.0006817863742782643
2016528_Clinton vs. Trump,43.72379,40.39103333333333,Clinton vs. Trump,2016-05-28,0.00025482244888844083
2016529_Clinton vs. Trump,46.257085,41.949668333333335,Clinton vs. Trump,2016-05-29,1.9121145311726572e-06
201652_Clinton vs. Trump,46.1838,41.19592166666666,Clinton vs. Trump,2016-05-02,7.94873530091516e-07
2016530_Clinton vs. Trump,43.54987083333333,42.80921833333333,Clinton vs. Trump,2016-05-30,0.0008733133953009323
2016531_Clinton vs. Trump,52.00413583333333,35.210769166666665,Clinton vs. Trump,2016-05-31,0.006760759492028467
201653_Clinton vs. Trump,45.59196666666667,37.778423333333336,Clinton vs. Trump,2016-05-03,4.7539513960734076e-07
201654_Clinton vs. Trump,38.86714166666667,44.76670166666667,Clinton vs. Trump,2016-05-04,0.00012792118005449754
201655_Clinton vs. Trump,46.127759999999995,37.48444111111111,Clinton vs. Trump,2016-05-05,0.00011202817316979647
201656_Clinton vs. Trump,39.73511666666667,45.62750166666667,Clinton vs. Trump,2016-05-06,3.0827810485965317e-05
201657_Clinton vs. Trump,43.59370666666666,37.609453333333335,Clinton vs. Trump,2016-05-07,6.177293988455145e-07
201658_Clinton vs. Trump,43.521343333333334,43.74225466666667,Clinton vs. Trump,2016-05-08,7.558868905650331e-07
201659_Clinton vs. Trump,42.963101333333334,40.53325866666667,Clinton vs. Trump,2016-05-09,0.00026542350456010164
2016610_Clinton vs. Trump,48.422937777777776,35.617895555555556,Clinton vs. Trump,2016-06-10,0.00026085728689643367
2016611_Clinton vs. Trump,45.09970666666667,33.90665666666666,Clinton vs. Trump,2016-06-11,3.072541641215601e-06
2016612_Clinton vs. Trump,45.15754888888889,37.892950000000006,Clinton vs. Trump,2016-06-12,3.4910440989969347e-06
2016613_Clinton vs. Trump,44.8494325,37.394260833333334,Clinton vs. Trump,2016-06-13,0.0010872215423345815
2016614_Clinton vs. Trump,39.62865333333333,38.62037333333333,Clinton vs. Trump,2016-06-14,0.00151141301032219
2016615_Clinton vs. Trump,45.77514666666667,38.695680833333334,Clinton vs. Trump,2016-06-15,0.0017503859024427765
2016616_Clinton vs. Trump,46.418124166666665,39.886495833333335,Clinton vs. Trump,2016-06-16,0.00020078991425123756
2016617_Clinton vs. Trump,37.715376666666664,38.22173333333333,Clinton vs. Trump,2016-06-17,3.7524582317892986e-06
2016618_Clinton vs. Trump,44.841232857142856,42.608086666666665,Clinton vs. Trump,2016-06-18,0.0016892522860289228
2016619_Clinton vs. Trump,44.56760238095238,40.374050476190476,Clinton vs. Trump,2016-06-19,0.0010403399354053456
201661_Clinton vs. Trump,38.275729999999996,36.51813555555556,Clinton vs. Trump,2016-06-01,3.5001940832546666e-06
2016620_Clinton vs. Trump,44.73294235294117,42.48807764705882,Clinton vs. Trump,2016-06-20,0.004258323383979373
2016621_Clinton vs. Trump,43.267581904761904,41.39328761904762,Clinton vs. Trump,2016-06-21,0.0008296760443238562
2016622_Clinton vs. Trump,45.63160791666667,39.70150541666667,Clinton vs. Trump,2016-06-22,0.005256569883502798
2016623_Clinton vs. Trump,44.471440666666666,42.05567766666666,Clinton vs. Trump,2016-06-23,0.0033898347178778895
2016624_Clinton vs. Trump,45.32340333333334,41.064973333333334,Clinton vs. Trump,2016-06-24,0.0040916981865469155
2016625_Clinton vs. Trump,46.45611,37.08667,Clinton vs. Trump,2016-06-25,5.253030215771582e-06
2016626_Clinton vs. Trump,47.90045133333333,38.23932933333333,Clinton vs. Trump,2016-06-26,0.0009234903310999189
2016627_Clinton vs. Trump,45.45353444444444,40.33730444444444,Clinton vs. Trump,2016-06-27,0.0021096127656111048
2016628_Clinton vs. Trump,48.246753846153844,43.448826153846156,Clinton vs. Trump,2016-06-28,0.006775757838832231
