unique_id_x,retweets,favorites,handle_x,fecha,adjpoll_clinton,adjpoll_trump,index_weighted
realDonaldTrump_201668,55831,183585,realDonaldTrump,2016-06-08,40.43690333333333,40.90974833333333,3.6320334295453452e-09
HillaryClinton_201669,570487,864183,HillaryClinton,2016-06-09,35.90445333333333,39.98701333333333,6.213232634059519e-11
realDonaldTrump_201669,200769,433474,realDonaldTrump,2016-06-09,35.90445333333333,39.98701333333333,6.213232634059519e-11
HillaryClinton_201671,15071,34744,HillaryClinton,2016-07-01,41.23672333333334,41.56694666666667,2.2767599036525773e-06
realDonaldTrump_201671,52429,150114,realDonaldTrump,2016-07-01,41.23672333333334,41.56694666666667,2.2767599036525773e-06
HillaryClinton_2016710,13501,34171,HillaryClinton,2016-07-10,39.51153,39.47201333333334,3.914743508027681e-09
realDonaldTrump_2016710,41706,129847,realDonaldTrump,2016-07-10,39.51153,39.47201333333334,3.914743508027681e-09
HillaryClinton_2016711,19130,40599,HillaryClinton,2016-07-11,39.103586666666665,40.497456666666665,4.13929009876953e-09
realDonaldTrump_2016711,29347,86906,realDonaldTrump,2016-07-11,39.103586666666665,40.497456666666665,4.13929009876953e-09
HillaryClinton_2016712,85203,227607,HillaryClinton,2016-07-12,40.39622666666667,39.32158333333333,4.187010268827672e-09
realDonaldTrump_2016712,127002,316987,realDonaldTrump,2016-07-12,40.39622666666667,39.32158333333333,4.187010268827672e-09
HillaryClinton_2016713,39198,100335,HillaryClinton,2016-07-13,45.28850083333333,41.1487975,4.672351823745817e-07
realDonaldTrump_2016713,82331,252479,realDonaldTrump,2016-07-13,45.28850083333333,41.1487975,4.672351823745817e-07
HillaryClinton_2016714,42477,101943,HillaryClinton,2016-07-14,44.27950666666666,34.27171,4.8315960932237035e-09
realDonaldTrump_2016714,64256,186832,realDonaldTrump,2016-07-14,44.27950666666666,34.27171,4.8315960932237035e-09
HillaryClinton_2016715,49237,74205,HillaryClinton,2016-07-15,44.73853,37.52022777777778,1.3974673125669925e-07
realDonaldTrump_2016715,54138,155314,realDonaldTrump,2016-07-15,44.73853,37.52022777777778,1.3974673125669925e-07
HillaryClinton_2016716,60726,107073,HillaryClinton,2016-07-16,43.966853333333326,34.922356666666666,5.7660706415495075e-09
realDonaldTrump_2016716,59946,207633,realDonaldTrump,2016-07-16,43.966853333333326,34.922356666666666,5.7660706415495075e-09
HillaryClinton_2016717,10742,24685,HillaryClinton,2016-07-17,42.85993,35.847096666666665,6.172025094512075e-09
realDonaldTrump_2016717,99792,301630,realDonaldTrump,2016-07-17,42.85993,35.847096666666665,6.172025094512075e-09
HillaryClinton_2016718,58058,131507,HillaryClinton,2016-07-18,43.55186666666666,36.07129333333333,7.764317109315894e-09
realDonaldTrump_2016718,39150,152462,realDonaldTrump,2016-07-18,43.55186666666666,36.07129333333333,7.764317109315894e-09
